ENSEMBL_ID;gene_symbol;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSG00000000003;TSPAN6;7,01201112031963e+01;1,91747833058893e-01;0,1984247980639670;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000000005;TNMD;1,10335003557854e+01;2,30718842502044e+00;1,0010827303581100;1,905125687602450046;5,67637350277411e-02;1,00000000000000e+00
ENSG00000000419;DPM1;2,67280203862961e+02;-1,49117478321036e-02;0,1633657587656860;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000000457;SCYL3;2,56785238308515e+02;-1,19160937572471e-02;0,1355140818955720;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000000460;C1orf112;8,60204441738363e+01;-3,44162477728192e-01;0,1686306982022180;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000000938;FGR;2,96683784068420e+01;-1,11628385300569e+00;0,2801423374681400;-2,556856844557279906;1,05622675017105e-02;4,41540133431330e-01
ENSG00000000971;CFH;1,23056085060468e+03;1,04730149475064e+00;0,2501020204887530;2,588149801771590042;9,64930070789159e-03;4,20774562329520e-01
ENSG00000001036;FUCA2;1,02545964629689e+02;-1,90910037746737e-01;0,1688392252028710;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001084;GCLC;2,74990308079782e+02;-2,68310975802937e-01;0,1432091962885190;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001167;NFYA;1,75784254883114e+02;-7,47899105168187e-02;0,1481406856658910;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001460;STPG1;1,80843931802008e+01;-4,48584734378962e-01;0,2566145103766850;-0,189329645886527009;8,49834461434270e-01;1,00000000000000e+00
ENSG00000001461;NIPAL3;2,44234536394183e+02;-4,09327436912232e-01;0,1841492438842090;-0,050651508067537501;9,59603217967133e-01;1,00000000000000e+00
ENSG00000001497;LAS1L;1,75402925254625e+02;7,54250864143465e-01;0,1491501930499590;2,375128431947830077;1,75428449796103e-02;6,06987649621404e-01
ENSG00000001561;ENPP4;1,02007722501321e+03;-3,12681385678698e-01;0,1903624223978900;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001617;SEMA3F;8,67284606732455e+01;6,97568259870985e-01;0,2088702536054050;1,424655999284349939;1,54256664030560e-01;1,00000000000000e+00
ENSG00000001629;ANKIB1;7,25529069204014e+02;2,25365767693487e-02;0,0877138456783639;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001630;CYP51A1;1,20808738938067e+01;-7,63050714436980e-02;0,4756030955639190;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000001631;KRIT1;6,25527225660514e+02;-6,59179319983216e-02;0,1092169511282870;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002016;RAD52;2,22925917644086e+02;3,06716179051396e-01;0,1534838788993450;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002330;BAD;7,24463761246469e+01;1,06316091442439e-01;0,1868644776215110;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002549;LAP3;7,24774522987346e+02;-5,30350184852554e-02;0,1254269453261640;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002586;CD99;5,54727498104595e+02;9,76841190112572e-02;0,1481150569384440;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002587;HS3ST1;4,64123804116550e+00;-5,01972036482545e-01;0,4575702602826410;-0,222855472336766003;8,23647992775479e-01;1,00000000000000e+00
ENSG00000002746;HECW1;8,03083035115092e+01;1,26806834149583e+00;0,4270693851563720;2,032616646538560001;4,20912683723593e-02;9,70571189785816e-01
ENSG00000002822;MAD1L1;2,12755138075683e+02;1,95418747258933e-01;0,1741449072023460;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002834;LASP1;3,43036093785875e+02;-1,21440117106501e-02;0,1694868334888890;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002919;SNX11;8,42981790342195e+01;-3,27275122094557e-01;0,1384457732198750;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000002933;TMEM176A;1,53827536090397e+01;3,25396789109991e-01;0,4697840914262790;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003056;M6PR;4,01516293993572e+02;-1,36141428895279e-01;0,0941365229051070;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003096;KLHL13;1,06539255507532e+02;-3,77566215869245e-01;0,1506048350981940;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003137;CYP26B1;6,71058187693754e+01;1,56988452185662e+00;0,4885461281951490;2,394624487514739997;1,66373946101233e-02;5,90576784895321e-01
ENSG00000003147;ICA1;5,82437708796754e+01;2,13112396641059e-02;0,1855534553482530;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003249;DBNDD1;4,63177114003634e+01;-5,92260252167788e-01;0,4105463090562820;-0,468303448177951998;6,39567602917335e-01;1,00000000000000e+00
ENSG00000003393;ALS2;9,28247165073168e+02;4,42941979643996e-02;0,0889975816180425;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003400;CASP10;2,09505760125865e+02;-2,47690827499210e-01;0,1389795966913800;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003402;CFLAR;5,36783990575821e+03;-1,78661293021447e-02;0,1249365782908030;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003436;TFPI;7,42153974156747e+02;-1,22786793714006e-01;0,1670615206404520;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003509;NDUFAF7;2,87937280109645e+02;6,04244868173898e-02;0,1286592954040600;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003756;RBM5;1,34584606447443e+03;2,73592843771111e-03;0,0819244086332763;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000003987;MTMR7;1,69142144903324e+00;8,28132141747301e-01;0,7845226793410210;0,545723091277514949;5,85256296665544e-01;1,00000000000000e+00
ENSG00000003989;SLC7A2;6,06232333003460e+03;-3,06168726668632e-01;0,1651805727196000;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004059;ARF5;1,62202037422137e+02;-1,46746428964659e-01;0,1362991907896430;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004139;SARM1;6,27390427836439e+01;-2,12128774782801e-01;0,1719192603469190;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004142;POLDIP2;1,43037952666729e+03;-3,87384992911939e-01;0,1000285643019580;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004399;PLXND1;4,96007124637970e+02;-5,78247681696491e-03;0,1594215738554960;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004455;AK2;7,54628536133913e+02;-4,39052906370640e-01;0,1252384762551450;-0,311828341723657976;7,55170983658524e-01;1,00000000000000e+00
ENSG00000004468;CD38;4,42950109423612e+02;-4,24512706510887e-01;0,1934167565787880;-0,126735175092760999;8,99150004603021e-01;1,00000000000000e+00
ENSG00000004478;FKBP4;5,50288716162470e+02;-8,77198814811883e-01;0,1641318106018420;-2,907412116286780090;3,64432729598579e-03;2,19849236824676e-01
ENSG00000004487;KDM1A;7,88527693609167e+02;7,01570402194631e-03;0,1038427878558070;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004534;RBM6;8,02080584075968e+02;2,54689141031431e-01;0,0889613170812396;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004660;CAMKK1;4,97395673588587e+01;-9,11656559162786e-02;0,3730307473728360;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004700;RECQL;3,46836423196303e+02;4,53379549609023e-01;0,1724350897739010;0,309563150278838017;7,56893182394582e-01;1,00000000000000e+00
ENSG00000004766;CCDC132;5,66315858256606e+02;5,69173832341711e-02;0,1262803383709550;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004776;HSPB6;8,72078291029950e+02;-4,40237938821138e-01;0,2328820362727500;-0,172782493081655997;8,62822398564606e-01;1,00000000000000e+00
ENSG00000004777;ARHGAP33;1,22731794560930e+01;7,28996232470910e-01;0,3604156194068020;0,912824569069440983;3,61334814361453e-01;1,00000000000000e+00
ENSG00000004779;NDUFAB1;8,92746997534602e+02;-3,54590609037372e-01;0,1281669183149830;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004799;PDK4;1,58538205019910e+03;-5,29983878623181e-02;0,6628535313584890;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004838;ZMYND10;5,67556382899287e+00;-4,40972191339875e-01;0,5134206816643210;-0,079802378055862502;9,36394432943631e-01;1,00000000000000e+00
ENSG00000004848;ARX;1,00171517689973e+02;3,91831046157257e-01;0,1791215891793620;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
ENSG00000004864;SLC25A13;2,32303540927454e+02;9,02041846392209e-01;0,1918915945286050;2,616278465065180026;8,88940280324896e-03;3,99611261923659e-01
ENSG00000004866;ST7;2,14254111139488e+02;-1,80982792125110e-01;0,1109443622380990;0,000000000000000000;1,00000000000000e+00;1,00000000000000e+00
