Genes;samples;counts;condition
MYH3;DM1_41;5,24882737339466e+04;DM1
MYH3;DM1_36;3,46722474354904e+03;DM1
MYH3;DM1_53;9,54905458084781e+02;DM1
MYH3;DM1_45;1,94541577620322e+03;DM1
MYH3;DM1_17;3,46365681183810e+03;DM1
MYH3;DM1_22;2,99524393022645e+03;DM1
MYH3;DM1_39;3,23480487940142e+03;DM1
MYH3;DM1_34;3,00058087110569e+03;DM1
MYH3;DM1_25;2,57550209199468e+03;DM1
MYH3;DM1_33;2,38576165872755e+03;DM1
MYH3;DM1_26;3,11440679576751e+03;DM1
MYH3;DM1_30;2,84039697095123e+03;DM1
MYH3;DM1_52;3,52398939885150e+03;DM1
MYH3;Ctrl_B2;1,25857938288418e+02;Ctrl
MYH3;Ctrl_B8;8,32217999860319e+02;Ctrl
MYH3;DM1_20;1,07717826541287e+03;DM1
MYH3;DM1_14;8,33958422177716e+02;DM1
MYH3;DM1_29;2,55495006493543e+02;DM1
MYH3;DM1_42;7,87081729407026e+02;DM1
MYH3;Ctrl_B10;2,57191430001659e+02;Ctrl
MYH3;Ctrl_B6;6,42670429636446e+02;Ctrl
MYH3;DM1_56;8,19557928667590e+02;DM1
MYH3;Ctrl_B11;4,22796375461649e+02;Ctrl
MYH3;DM1_28;2,49384169203462e+02;DM1
MYH3;Ctrl_B5;1,26422646682753e+02;Ctrl
MYH3;DM1_55;1,10262556015815e+03;DM1
MYH3;Ctrl_B1;2,00453260700583e+02;Ctrl
MYH3;DM1_16;2,04239268971507e+03;DM1
MYH3;DM1_38;2,64368799472770e+03;DM1
MYH3;Ctrl_B9;3,04736855480838e+02;Ctrl
MYH3;Ctrl_B3;3,55319513452018e+02;Ctrl
MYH3;Ctrl_B4;6,76031058422925e+01;Ctrl
MYH3;Ctrl_B7;1,17748631862326e+02;Ctrl
MYH3;DM1_19;1,90474068176543e+04;DM1
MYH3;DM1_35;2,20526358670554e+04;DM1
MYH3;DM1_43;1,58538336086995e+04;DM1
MYH3;DM1_18;1,52130809029750e+04;DM1
MYH3;DM1_44;1,53231441715315e+04;DM1
MYH3;DM1_15;1,52102373552269e+04;DM1
MYH3;DM1_50;1,41298210860292e+04;DM1
MYH3;DM1_32;6,60039374684582e+03;DM1
MYH3;DM1_37;7,07025367775254e+03;DM1
